GAUSSIAN NOISE:
[Squared] Step 0: Loss = 13.3715, W = 0.5246, b = 0.3177, LR = 0.005157
[Huber] Step 0: Loss = 2.4706, W = 0.5025, b = 0.3020, LR = 0.005024
[Hybrid] Step 0: Loss = 8.1124, W = 0.5131, b = 0.3095, LR = 0.005001
[Squared] Step 100: Loss = 6.6626, W = 1.8794, b = 1.3851, LR = 0.004833
[Huber] Step 100: Loss = 2.2816, W = 0.7459, b = 0.4943, LR = 0.005176
[Hybrid] Step 100: Loss = 5.0775, W = 1.4732, b = 1.0422, LR = 0.004906
[Squared] Step 200: Loss = 5.9565, W = 2.2663, b = 1.7743, LR = 0.004965
[Huber] Step 200: Loss = 2.1081, W = 0.9725, b = 0.6748, LR = 0.004942
[Hybrid] Step 200: Loss = 4.2232, W = 1.9590, b = 1.4638, LR = 0.005005
[Squared] Step 300: Loss = 5.8843, W = 2.3757, b = 1.9156, LR = 0.004968
[Huber] Step 300: Loss = 1.9599, W = 1.1808, b = 0.8415, LR = 0.005010
[Hybrid] Step 300: Loss = 3.9984, W = 2.1962, b = 1.6993, LR = 0.005076
[Squared] Step 400: Loss = 5.8765, W = 2.4062, b = 1.9667, LR = 0.004982
[Huber] Step 400: Loss = 1.8463, W = 1.3686, b = 0.9938, LR = 0.005149
[Hybrid] Step 400: Loss = 3.9294, W = 2.3112, b = 1.8300, LR = 0.005116
[Squared] Step 500: Loss = 5.8765, W = 2.4159, b = 1.9854, LR = 0.005008
[Huber] Step 500: Loss = 1.7553, W = 1.5355, b = 1.1304, LR = 0.004924
[Hybrid] Step 500: Loss = 3.9133, W = 2.3664, b = 1.9042, LR = 0.004989
[Squared] Step 600: Loss = 5.8759, W = 2.4197, b = 1.9910, LR = 0.002524
[Huber] Step 600: Loss = 1.6811, W = 1.6809, b = 1.2520, LR = 0.005122
[Hybrid] Step 600: Loss = 3.9074, W = 2.3936, b = 1.9447, LR = 0.005063
[Squared] Step 700: Loss = 5.8762, W = 2.4196, b = 1.9926, LR = 0.001117
[Huber] Step 700: Loss = 1.6272, W = 1.8061, b = 1.3587, LR = 0.004785
[Hybrid] Step 700: Loss = 3.9059, W = 2.4067, b = 1.9668, LR = 0.004967
[Squared] Step 800: Loss = 5.8758, W = 2.4193, b = 1.9931, LR = 0.000343
[Huber] Step 800: Loss = 1.5829, W = 1.9122, b = 1.4515, LR = 0.005035
[Hybrid] Step 800: Loss = 3.9057, W = 2.4141, b = 1.9789, LR = 0.005186
[Squared] Step 900: Loss = 5.8758, W = 2.4193, b = 1.9934, LR = 0.000174
[Huber] Step 900: Loss = 1.5601, W = 2.0013, b = 1.5316, LR = 0.004952
[Hybrid] Step 900: Loss = 3.9057, W = 2.4153, b = 1.9820, LR = 0.001362
[Squared] Step 1000: Loss = 5.8762, W = 2.4193, b = 1.9935, LR = 0.000075
[Huber] Step 1000: Loss = 1.5415, W = 2.0749, b = 1.6001, LR = 0.004910
[Hybrid] Step 1000: Loss = 3.9061, W = 2.4156, b = 1.9828, LR = 0.000357
[Squared] Step 1100: Loss = 5.8763, W = 2.4193, b = 1.9935, LR = 0.000132
[Huber] Step 1100: Loss = 1.5249, W = 2.1360, b = 1.6587, LR = 0.005010
[Hybrid] Step 1100: Loss = 3.9057, W = 2.4157, b = 1.9830, LR = 0.000196
[Squared] Step 1200: Loss = 5.8759, W = 2.4193, b = 1.9935, LR = 0.000114
[Huber] Step 1200: Loss = 1.5129, W = 2.1863, b = 1.7087, LR = 0.004960
[Hybrid] Step 1200: Loss = 3.9059, W = 2.4157, b = 1.9831, LR = 0.000179
[Squared] Step 1300: Loss = 5.8757, W = 2.4193, b = 1.9935, LR = 0.000244
[Huber] Step 1300: Loss = 1.5072, W = 2.2282, b = 1.7511, LR = 0.004917
[Hybrid] Step 1300: Loss = 3.9063, W = 2.4158, b = 1.9832, LR = 0.000001
[Squared] Step 1400: Loss = 5.8760, W = 2.4193, b = 1.9935, LR = 0.000142
[Huber] Step 1400: Loss = 1.5012, W = 2.2620, b = 1.7871, LR = 0.005047
[Hybrid] Step 1400: Loss = 3.9058, W = 2.4158, b = 1.9832, LR = 0.000001
[Squared] Step 1500: Loss = 5.8759, W = 2.4193, b = 1.9936, LR = 0.000107
[Huber] Step 1500: Loss = 1.5008, W = 2.2899, b = 1.8176, LR = 0.005008
[Hybrid] Step 1500: Loss = 3.9060, W = 2.4158, b = 1.9833, LR = 0.000110
[Squared] Step 1600: Loss = 5.8758, W = 2.4193, b = 1.9936, LR = 0.000001
[Huber] Step 1600: Loss = 1.4976, W = 2.3025, b = 1.8321, LR = 0.002662
[Hybrid] Step 1600: Loss = 3.9057, W = 2.4158, b = 1.9833, LR = 0.000001
[Squared] Step 1700: Loss = 5.8759, W = 2.4193, b = 1.9936, LR = 0.000103
[Huber] Step 1700: Loss = 1.4967, W = 2.3088, b = 1.8396, LR = 0.001378
[Hybrid] Step 1700: Loss = 3.9062, W = 2.4158, b = 1.9834, LR = 0.000135
[Squared] Step 1800: Loss = 5.8758, W = 2.4193, b = 1.9936, LR = 0.000001
[Huber] Step 1800: Loss = 1.4969, W = 2.3119, b = 1.8431, LR = 0.000272
[Hybrid] Step 1800: Loss = 3.9058, W = 2.4159, b = 1.9834, LR = 0.000053
[Squared] Step 1900: Loss = 5.8758, W = 2.4193, b = 1.9937, LR = 0.000211
[Huber] Step 1900: Loss = 1.4967, W = 2.3130, b = 1.8445, LR = 0.000246
[Hybrid] Step 1900: Loss = 3.9058, W = 2.4159, b = 1.9835, LR = 0.000124
[Squared] Step 2000: Loss = 5.8765, W = 2.4193, b = 1.9937, LR = 0.000001
[Huber] Step 2000: Loss = 1.4966, W = 2.3136, b = 1.8452, LR = 0.000037
[Hybrid] Step 2000: Loss = 3.9058, W = 2.4159, b = 1.9835, LR = 0.000001
[Squared] Step 2100: Loss = 5.8760, W = 2.4193, b = 1.9937, LR = 0.000055
[Huber] Step 2100: Loss = 1.4961, W = 2.3139, b = 1.8454, LR = 0.000001
[Hybrid] Step 2100: Loss = 3.9057, W = 2.4159, b = 1.9836, LR = 0.000001
[Squared] Step 2200: Loss = 5.8757, W = 2.4193, b = 1.9938, LR = 0.000081
[Huber] Step 2200: Loss = 1.4966, W = 2.3140, b = 1.8456, LR = 0.000001
[Hybrid] Step 2200: Loss = 3.9057, W = 2.4159, b = 1.9836, LR = 0.000059
[Squared] Step 2300: Loss = 5.8757, W = 2.4193, b = 1.9938, LR = 0.000008
[Huber] Step 2300: Loss = 1.4967, W = 2.3142, b = 1.8459, LR = 0.000047
[Hybrid] Step 2300: Loss = 3.9059, W = 2.4159, b = 1.9837, LR = 0.000001
[Squared] Step 2400: Loss = 5.8759, W = 2.4193, b = 1.9938, LR = 0.000001
[Huber] Step 2400: Loss = 1.4966, W = 2.3144, b = 1.8461, LR = 0.000115
[Hybrid] Step 2400: Loss = 3.9059, W = 2.4159, b = 1.9837, LR = 0.000001
[Squared] Step 2500: Loss = 5.8757, W = 2.4193, b = 1.9939, LR = 0.000073
[Huber] Step 2500: Loss = 1.4964, W = 2.3145, b = 1.8463, LR = 0.000001
